구분,행정구역코드,1단계,2단계,3단계,격자 X,격자 Y,경도(시),경도(분),경도(초),위도(시),위도(분),위도(초),경도(초/100),위도(초/100)
kor,1111000000,서울특별시,종로구,,60,127,126,58,53.91,37,34,13.36,126.9816417,37.57037778
kor,1114000000,서울특별시,중구,,60,127,126,59,58.71,37,33,39.61,126.9996417,37.56100278
kor,1117000000,서울특별시,용산구,,60,126,126,58,3.08,37,32,9.94,126.9675222,37.53609444
kor,1120000000,서울특별시,성동구,,61,127,127,2,20.4,37,33,38.2,127.039,37.56061111
kor,1121500000,서울특별시,광진구,,62,126,127,5,4.32,37,32,8.66,127.0845333,37.53573889
kor,1123000000,서울특별시,동대문구,,61,127,127,2,31.71,37,34,17.85,127.0421417,37.571625
kor,1126000000,서울특별시,중랑구,,62,128,127,5,41.2,37,36,13.7,127.0947778,37.60380556
kor,1129000000,서울특별시,성북구,,61,127,127,1,13.2,37,35,10.98,127.0203333,37.58638333
kor,1130500000,서울특별시,강북구,,61,128,127,1,39.79,37,38,13.04,127.0277194,37.63695556
kor,1132000000,서울특별시,도봉구,,61,129,127,2,58.28,37,39,57,127.0495222,37.66583333
kor,1135000000,서울특별시,노원구,,61,129,127,3,30.2,37,39,5.26,127.0583889,37.65146111
kor,1138000000,서울특별시,은평구,,59,127,126,55,52.47,37,35,59.89,126.9312417,37.59996944
kor,1141000000,서울특별시,서대문구,,59,127,126,56,20.03,37,34,34.92,126.9388972,37.57636667
kor,1144000000,서울특별시,마포구,,59,127,126,54,37.91,37,33,38.54,126.9105306,37.56070556
kor,1147000000,서울특별시,양천구,,58,126,126,52,7.35,37,30,51.23,126.8687083,37.51423056
kor,1150000000,서울특별시,강서구,,58,126,126,51,6.03,37,32,53.36,126.851675,37.54815556
kor,1153000000,서울특별시,구로구,,58,125,126,53,22.55,37,29,33.54,126.8895972,37.49265
kor,1154500000,서울특별시,금천구,,59,124,126,54,15.11,37,26,56.79,126.9041972,37.44910833
kor,1156000000,서울특별시,영등포구,,58,126,126,53,54.03,37,31,25,126.8983417,37.52361111
kor,1159000000,서울특별시,동작구,,59,125,126,56,29.67,37,30,34.76,126.941575,37.50965556
kor,1162000000,서울특별시,관악구,,59,125,126,57,13.84,37,28,31.39,126.9538444,37.47538611
kor,1165000000,서울특별시,서초구,,61,125,127,2,5.32,37,28,50.83,127.0348111,37.48078611
kor,1168000000,서울특별시,강남구,,61,126,127,2,58.4,37,30,52.47,127.0495556,37.514575
kor,1171000000,서울특별시,송파구,,62,126,127,6,28.55,37,30,42.32,127.1079306,37.51175556
kor,1174000000,서울특별시,강동구,,62,126,127,7,33.11,37,31,38.52,127.1258639,37.52736667
kor,2611000000,부산광역시,중구,,97,74,129,2,4.23,35,6,11.58,129.0345083,35.10321667
kor,2614000000,부산광역시,서구,,97,74,129,1,34.96,35,5,41.41,129.0263778,35.09483611
kor,2617000000,부산광역시,동구,,98,75,129,3,33.03,35,8,9.22,129.059175,35.13589444
kor,2620000000,부산광역시,영도구,,98,74,129,4,12.67,35,5,17.22,129.0701861,35.08811667
kor,2623000000,부산광역시,부산진구,,97,75,129,3,19.15,35,9,35.83,129.0553194,35.15995278
kor,2626000000,부산광역시,동래구,,98,76,129,5,9.08,35,12,6.74,129.0858556,35.20187222
kor,2629000000,부산광역시,남구,,98,75,129,5,11.4,35,8,0.27,129.0865,35.13340833
kor,2632000000,부산광역시,북구,,96,76,128,59,32.91,35,11,39.05,128.992475,35.19418056
kor,2635000000,부산광역시,해운대구,,99,75,129,9,56.91,35,9,36.07,129.1658083,35.16001944
kor,2638000000,부산광역시,사하구,,96,74,128,58,37.35,35,6,5.14,128.9770417,35.10142778
kor,2641000000,부산광역시,금정구,,98,77,129,5,39.55,35,14,24.28,129.0943194,35.24007778
kor,2644000000,부산광역시,강서구,,96,76,128,58,58.47,35,12,32.99,128.9829083,35.20916389
kor,2647000000,부산광역시,연제구,,98,76,129,4,55.47,35,10,23.47,129.082075,35.17318611
kor,2650000000,부산광역시,수영구,,99,75,129,6,55.35,35,8,32.88,129.115375,35.14246667
kor,2653000000,부산광역시,사상구,,96,75,128,59,36,35,8,58.08,128.9933333,35.14946667
kor,2671000000,부산광역시,기장군,,100,77,129,13,28.11,35,14,28.86,129.224475,35.24135
kor,2711000000,대구광역시,중구,,89,90,128,36,30.23,35,51,58.63,128.6083972,35.86628611
kor,2714000000,대구광역시,동구,,90,91,128,38,15.76,35,53,1.02,128.6377111,35.88361667
kor,2717000000,대구광역시,서구,,88,90,128,33,41.08,35,52,7.66,128.5614111,35.86879444
kor,2720000000,대구광역시,남구,,89,90,128,35,59.28,35,50,34.72,128.5998,35.84297778
kor,2723000000,대구광역시,북구,,89,91,128,35,6.08,35,52,57.72,128.5850222,35.8827
kor,2726000000,대구광역시,수성구,,89,90,128,37,58.32,35,51,18.75,128.6328667,35.85520833
kor,2729000000,대구광역시,달서구,,88,90,128,32,6.23,35,49,36.94,128.5350639,35.82692778
kor,2771000000,대구광역시,달성군,,86,88,128,25,59.79,35,46,18.05,128.433275,35.77168056
kor,2772000000,대구광역시,군위군,,88,99,128,34,30.28,36,14,23.99,128.5750778,36.23999722
kor,2811000000,인천광역시,중구,,54,125,126,37,24.84,37,28,15.36,126.6235667,37.47093333
kor,2814000000,인천광역시,동구,,54,125,126,38,43.32,37,28,15.73,126.6453667,37.47103611
kor,2817700000,인천광역시,미추홀구,,54,124,126,39,9.67,37,27,38.45,126.6526861,37.46068056
kor,2818500000,인천광역시,연수구,,55,123,126,40,49.59,37,24,25.64,126.6804417,37.40712222
kor,2820000000,인천광역시,남동구,,56,124,126,44,1.67,37,26,40.27,126.7337972,37.44451944
kor,2823700000,인천광역시,부평구,,55,125,126,43,26.76,37,30,15.36,126.7241,37.50426667
kor,2824500000,인천광역시,계양구,,56,126,126,44,23.11,37,32,5.25,126.7397528,37.53479167
kor,2826000000,인천광역시,서구,,55,126,126,40,41.52,37,32,33.69,126.6782,37.54269167
kor,2871000000,인천광역시,강화군,,51,130,126,29,24,37,44,37.89,126.49,37.74385833
kor,2872000000,인천광역시,옹진군,,54,124,126,38,20,37,26,37.41,126.6388889,37.443725
kor,2911000000,광주광역시,동구,,60,74,126,55,30.64,35,8,35.16,126.9251778,35.1431
kor,2914000000,광주광역시,서구,,59,74,126,53,36.28,35,8,58.14,126.8934111,35.14948333
kor,2915500000,광주광역시,남구,,59,73,126,54,36.52,35,7,8.53,126.9101444,35.11903611
kor,2917000000,광주광역시,북구,,59,75,126,54,50.84,35,10,16.05,126.9141222,35.171125
kor,2920000000,광주광역시,광산구,,57,74,126,47,44.84,35,8,11.14,126.7957889,35.13642778
kor,3011000000,대전광역시,동구,,68,100,127,26,5.47,36,19,26.88,127.4348528,36.32413333
kor,3014000000,대전광역시,중구,,68,100,127,25,23.2,36,19,21.47,127.4231111,36.32263056
kor,3017000000,대전광역시,서구,,67,100,127,23,8.79,36,21,8.94,127.385775,36.35248333
kor,3020000000,대전광역시,유성구,,67,101,127,21,30.03,36,21,33.72,127.3583417,36.35936667
kor,3023000000,대전광역시,대덕구,,68,100,127,25,3.67,36,20,37.66,127.4176861,36.34379444
kor,3111000000,울산광역시,중구,,102,84,129,20,5.55,35,33,58.83,129.334875,35.56634167
kor,3114000000,울산광역시,남구,,102,84,129,19,56.59,35,32,26.75,129.3323861,35.54076389
kor,3117000000,울산광역시,동구,,104,83,129,25,8.23,35,30,6.8,129.4189528,35.50188889
kor,3120000000,울산광역시,북구,,103,85,129,21,48.76,35,34,46.88,129.3635444,35.57968889
kor,3171000000,울산광역시,울주군,,101,84,129,17,49.79,35,31,50.66,129.2971639,35.53073889
kor,3611000000,세종특별자치시,세종특별자치시,,66,103,127,17,20.65,36,28,48.04,127.2890691,36.4800121
kor,4111100000,경기도,수원시장안구,,60,121,127,0,44,37,18,3.64,127.0122222,37.30101111
kor,4111300000,경기도,수원시권선구,,60,120,126,58,26.67,37,15,17.04,126.974075,37.25473333
kor,4111500000,경기도,수원시팔달구,,61,121,127,2,16.2,37,16,59.17,127.0378333,37.28310278
kor,4111700000,경기도,수원시영통구,,61,120,127,2,55.08,37,15,22.72,127.0486333,37.25631111
kor,4113100000,경기도,성남시수정구,,63,124,127,8,51.79,37,26,50.97,127.1477194,37.44749167
kor,4113300000,경기도,성남시중원구,,63,124,127,8,21.91,37,25,39.61,127.1394194,37.42766944
kor,4113500000,경기도,성남시분당구,,62,123,127,7,15.67,37,22,47.89,127.1210194,37.37996944
kor,4115000000,경기도,의정부시,,61,130,127,2,9.03,37,44,7.04,127.0358417,37.73528889
kor,4117100000,경기도,안양시만안구,,59,123,126,56,4.2,37,23,1.6,126.9345,37.38377778
kor,4117300000,경기도,안양시동안구,,59,123,126,57,12.08,37,23,22.92,126.9533556,37.3897
kor,4119200000,경기도,부천시원미구,,57,125,126,47,13.18928,37,29,47.73308,126.786997,37.49659252
kor,4119400000,경기도,부천시소사구,,57,125,126,47,59.78855,37,28,48.13999,126.7999413,37.48003888
kor,4119600000,경기도,부천시오정구,,57,126,126,47,44.92713,37,31,42.05338,126.7958131,37.52834816
kor,4121000000,경기도,광명시,,58,125,126,52,0.15,37,28,32.7,126.8667083,37.47575
kor,4122000000,경기도,평택시,,62,114,127,6,52.76,36,59,21.98,127.1146556,36.98943889
kor,4125000000,경기도,동두천시,,61,134,127,3,45.55,37,54,3.3,127.0626528,37.90091667
kor,4127100000,경기도,안산시상록구,,58,121,126,50,48.55,37,17,54.67,126.8468194,37.29851944
kor,4127300000,경기도,안산시단원구,,57,121,126,48,51.91,37,19,0.22,126.8144194,37.31672778
kor,4128100000,경기도,고양시덕양구,,57,128,126,50,3.11,37,38,4.5,126.8341972,37.63458333
kor,4128500000,경기도,고양시일산동구,,56,129,126,46,37.4,37,39,21.27,126.7770556,37.65590833
kor,4128700000,경기도,고양시일산서구,,56,129,126,45,10,37,40,20.95,126.7527778,37.67248611
kor,4129000000,경기도,과천시,,60,124,126,59,23.28,37,25,34.94,126.9898,37.42637222
kor,4131000000,경기도,구리시,,62,127,127,7,54.71,37,35,29.85,127.1318639,37.591625
kor,4136000000,경기도,남양주시,,64,128,127,13,7.08,37,37,59.44,127.2186333,37.63317778
kor,4137000000,경기도,오산시,,62,118,127,4,46.71,37,8,48.89,127.0796417,37.14691389
kor,4139000000,경기도,시흥시,,57,123,126,48,18.28,37,22,38.35,126.8050778,37.37731944
kor,4141000000,경기도,군포시,,59,122,126,56,15,37,21,31.17,126.9375,37.35865833
kor,4143000000,경기도,의왕시,,60,122,126,58,13.4,37,20,31.02,126.9703889,37.34195
kor,4145000000,경기도,하남시,,64,126,127,13,1.2,37,32,11.39,127.217,37.53649722
kor,4146100000,경기도,용인시처인구,,64,119,127,12,13.84,37,13,53.32,127.2038444,37.23147778
kor,4146300000,경기도,용인시기흥구,,62,120,127,7,0.44,37,16,39.35,127.1167889,37.27759722
kor,4146500000,경기도,용인시수지구,,62,121,127,6,0.35,37,19,9.79,127.1000972,37.31938611
kor,4148000000,경기도,파주시,,56,131,126,46,55.03,37,45,25.5,126.7819528,37.75708333
kor,4150000000,경기도,이천시,,68,121,127,26,35.59,37,16,31.57,127.4432194,37.27543611
kor,4155000000,경기도,안성시,,65,115,127,16,54.64,37,0,18.63,127.2818444,37.005175
kor,4157000000,경기도,김포시,,55,128,126,43,4,37,36,44.85,126.7177778,37.61245833
kor,4159000000,경기도,화성시,,57,119,126,50,0.71,37,11,48.54,126.8335306,37.19681667
kor,4161000000,경기도,광주시,,65,123,127,15,28.03,37,24,52.22,127.2577861,37.41450556
kor,4163000000,경기도,양주시,,61,131,127,2,52.15,37,46,56.82,127.0478194,37.78245
kor,4165000000,경기도,포천시,,64,134,127,12,8.71,37,53,31.76,127.2024194,37.89215556
kor,4167000000,경기도,여주시,,71,121,127,38,22.64,37,17,43.29,127.6396222,37.29535833
kor,4180000000,경기도,연천군,,61,138,127,4,37.44,38,5,36.11,127.0770667,38.09336389
kor,4182000000,경기도,가평군,,69,133,127,30,42.4,37,49,43.79,127.5117778,37.82883056
kor,4183000000,경기도,양평군,,69,125,127,29,23.59,37,29,20.17,127.4898861,37.48893611
kor,4311100000,충청북도,청주시상당구,,69,106,127,30,42.23,36,35,2.39,127.5117306,36.58399722
kor,4311200000,충청북도,청주시서원구,,69,107,127,28,59.84,36,38,14.14,127.4832889,36.63726111
kor,4311300000,충청북도,청주시흥덕구,,67,106,127,21,33.91,36,37,5.52,127.3594194,36.6182
kor,4311400000,충청북도,청주시청원구,,69,107,127,29,15.59,36,38,39.5,127.4876639,36.64430556
kor,4313000000,충청북도,충주시,,76,114,127,55,41.32,36,59,17.45,127.9281444,36.98818056
kor,4315000000,충청북도,제천시,,81,118,128,11,35.35,37,7,47.17,128.1931528,37.12976944
kor,4372000000,충청북도,보은군,,73,103,127,43,53.79,36,29,11.52,127.7316083,36.48653333
kor,4373000000,충청북도,옥천군,,71,99,127,34,25.08,36,18,12.78,127.5736333,36.30355
kor,4374000000,충청북도,영동군,,74,97,127,47,8.2,36,10,19.41,127.7856111,36.17205833
kor,4374500000,충청북도,증평군,,71,110,127,34,59.84,36,46,55.85,127.5832889,36.78218056
kor,4375000000,충청북도,진천군,,68,111,127,26,15.52,36,51,9.14,127.4376444,36.85253889
kor,4376000000,충청북도,괴산군,,74,111,127,47,19.79,36,48,44.75,127.7888306,36.81243056
kor,4377000000,충청북도,음성군,,72,113,127,41,33.44,36,56,14.66,127.6926222,36.93740556
kor,4380000000,충청북도,단양군,,84,115,128,22,4.23,36,58,54.41,128.3678417,36.98178056
kor,4413100000,충청남도,천안시동남구,,63,110,127,9,8.88,36,48,14.85,127.1524667,36.804125
kor,4413300000,충청남도,천안시서북구,,63,112,127,9,25.91,36,52,32.01,127.1571972,36.87555833
kor,4415000000,충청남도,공주시,,63,102,127,7,16.03,36,26,37.01,127.1211194,36.44361389
kor,4418000000,충청남도,보령시,,54,100,126,36,53.59,36,19,50.07,126.6148861,36.330575
kor,4420000000,충청남도,아산시,,60,110,127,0,16.71,36,47,13.58,127.0046417,36.78710556
kor,4421000000,충청남도,서산시,,51,110,126,27,7.79,36,46,55.55,126.4521639,36.78209722
kor,4423000000,충청남도,논산시,,62,97,127,6,3.28,36,11,3.13,127.1009111,36.18420278
kor,4425000000,충청남도,계룡시,,65,99,127,15,3.35,36,16,18.61,127.2509306,36.27183611
kor,4427000000,충청남도,당진시,,54,112,126,37,48.91,36,53,26.7,126.6302528,36.89075
kor,4471000000,충청남도,금산군,,69,95,127,29,25.11,36,6,21.13,127.4903083,36.10586944
kor,4476000000,충청남도,부여군,,59,99,126,54,42.71,36,16,22.16,126.9118639,36.27282222
kor,4477000000,충청남도,서천군,,55,94,126,41,38,36,4,38.66,126.6938889,36.07740556
kor,4479000000,충청남도,청양군,,57,103,126,48,15.32,36,27,22.57,126.8042556,36.45626944
kor,4480000000,충청남도,홍성군,,55,106,126,39,46.47,36,35,54.1,126.6629083,36.59836111
kor,4481000000,충청남도,예산군,,58,107,126,51,3.15,36,40,47.3,126.850875,36.67980556
kor,4482500000,충청남도,태안군,,48,109,126,17,59.91,36,44,33.6,126.299975,36.74266667
kor,4611000000,전라남도,목포시,,50,67,126,23,39.91,34,48,31.64,126.3944194,34.80878889
kor,4613000000,전라남도,여수시,,73,66,127,39,51.79,34,45,26.32,127.6643861,34.75731111
kor,4615000000,전라남도,순천시,,70,70,127,29,21.59,34,56,51.38,127.4893306,34.94760556
kor,4617000000,전라남도,나주시,,56,71,126,42,46.32,35,0,46.22,126.7128667,35.01283889
kor,4623000000,전라남도,광양시,,73,70,127,41,53.44,34,56,15.13,127.6981778,34.93753611
kor,4671000000,전라남도,담양군,,61,78,126,59,24.59,35,19,5.25,126.9901639,35.318125
kor,4672000000,전라남도,곡성군,,66,77,127,17,38.79,35,16,44.24,127.2941083,35.27895556
kor,4673000000,전라남도,구례군,,69,75,127,27,53.76,35,11,58.05,127.4649333,35.19945833
kor,4677000000,전라남도,고흥군,,66,62,127,17,13.4,34,36,29.05,127.2870556,34.60806944
kor,4678000000,전라남도,보성군,,62,66,127,4,55.52,34,46,6,127.0820889,34.76833333
kor,4679000000,전라남도,화순군,,61,72,126,59,18.84,35,3,41.33,126.9885667,35.06148056
kor,4680000000,전라남도,장흥군,,59,64,126,54,32.79,34,40,42.69,126.9091083,34.678525
kor,4681000000,전라남도,강진군,,57,63,126,46,9.11,34,38,20.08,126.7691972,34.63891111
kor,4682000000,전라남도,해남군,,54,61,126,36,4.64,34,34,13.57,126.6012889,34.57043611
kor,4683000000,전라남도,영암군,,56,66,126,41,55.03,34,47,49.16,126.6986194,34.79698889
kor,4684000000,전라남도,무안군,,52,71,126,29,1.32,34,59,14.53,126.4837,34.98736944
kor,4686000000,전라남도,함평군,,52,72,126,31,7.03,35,3,45.88,126.5186194,35.06274444
kor,4687000000,전라남도,영광군,,52,77,126,30,50.71,35,16,27,126.5140861,35.27416667
kor,4688000000,전라남도,장성군,,57,77,126,47,13.11,35,17,55.72,126.786975,35.29881111
kor,4689000000,전라남도,완도군,,57,56,126,45,25.55,34,18,28.27,126.7570972,34.30785278
kor,4690000000,전라남도,진도군,,48,59,126,15,55.96,34,29,1.5,126.2655444,34.48375
kor,4691000000,전라남도,신안군,,50,66,126,22,54.23,34,47,23.32,126.3817306,34.78981111
kor,4711100000,경상북도,포항시남구,,102,94,129,21,42,36,0,20.47,129.3616667,36.00568611
kor,4711300000,경상북도,포항시북구,,102,95,129,22,4.47,36,2,19.86,129.3679083,36.03885
kor,4713000000,경상북도,경주시,,100,91,129,13,37.28,35,51,11.41,129.2270222,35.85316944
kor,4715000000,경상북도,김천시,,80,96,128,6,56.88,36,8,12.83,128.1158,36.13689722
kor,4717000000,경상북도,안동시,,91,106,128,43,53.84,36,33,55.67,128.7316222,36.56546389
kor,4719000000,경상북도,구미시,,84,96,128,20,48.4,36,6,59.58,128.3467778,36.11655
kor,4721000000,경상북도,영주시,,89,111,128,37,34.84,36,48,10.57,128.6263444,36.80293611
kor,4723000000,경상북도,영천시,,95,93,128,56,26.79,35,58,12.19,128.940775,35.97005278
kor,4725000000,경상북도,상주시,,81,102,128,9,40.55,36,24,28.69,128.1612639,36.40796944
kor,4728000000,경상북도,문경시,,81,106,128,11,20.47,36,35,1.07,128.1890194,36.58363056
kor,4729000000,경상북도,경산시,,91,90,128,44,36.47,35,49,19.52,128.7434639,35.82208889
kor,4773000000,경상북도,의성군,,90,101,128,41,57.71,36,20,59.13,128.6993639,36.34975833
kor,4775000000,경상북도,청송군,,96,103,129,3,33.84,36,25,59.85,129.0594,36.43329167
kor,4776000000,경상북도,영양군,,97,108,129,6,52.64,36,39,51.39,129.1146222,36.664275
kor,4777000000,경상북도,영덕군,,102,103,129,22,6.08,36,24,43.57,129.3683556,36.41210278
kor,4782000000,경상북도,청도군,,91,86,128,44,10.32,35,38,39.52,128.7362,35.64431111
kor,4783000000,경상북도,고령군,,83,87,128,15,54.08,35,43,22.75,128.2650222,35.72298611
kor,4784000000,경상북도,성주군,,83,91,128,17,6.55,35,54,58.36,128.2851528,35.91621111
kor,4785000000,경상북도,칠곡군,,85,93,128,24,13.67,35,59,33.17,128.4037972,35.99254722
kor,4790000000,경상북도,예천군,,86,107,128,27,18.08,36,39,17.82,128.4550222,36.65495
kor,4792000000,경상북도,봉화군,,90,113,128,44,5.55,36,53,24.94,128.734875,36.89026111
kor,4793000000,경상북도,울진군,,102,115,129,24,10.03,36,59,24.67,129.4027861,36.99018611
kor,4794000000,경상북도,울릉군,,127,127,130,54,13.64,37,28,50.07,130.9037889,37.480575
kor,4812100000,경상남도,창원시의창구,,90,77,128,38,24.56,35,15,14.41,128.6401544,35.2540033
kor,4812300000,경상남도,창원시성산구,,91,76,128,42,10.58,35,11,54.18,128.7029401,35.1983844
kor,4812500000,경상남도,창원시마산합포구,,89,76,128,34,4.31,35,11,48.75,128.567863,35.196874
kor,4812700000,경상남도,창원시마산회원구,,89,76,128,34,46.94,35,13,15.36,128.579706,35.220932
kor,4812900000,경상남도,창원시진해구,,91,75,128,42,36.29,35,7,59.02,128.710081,35.13306
kor,4817000000,경상남도,진주시,,81,75,128,6,36,35,10,37.32,128.11,35.17703333
kor,4822000000,경상남도,통영시,,87,68,128,26,7,34,51,4.53,128.4352778,34.85125833
kor,4824000000,경상남도,사천시,,80,71,128,4,0.4,35,0,1.02,128.0667778,35.00028333
kor,4825000000,경상남도,김해시,,95,77,128,53,30,35,13,31.82,128.8916667,35.22550556
kor,4827000000,경상남도,밀양시,,92,83,128,44,56.2,35,30,2.8,128.7489444,35.50077778
kor,4831000000,경상남도,거제시,,90,69,128,37,24.08,34,52,38.49,128.6233556,34.87735833
kor,4833000000,경상남도,양산시,,97,79,129,2,21.88,35,19,54.94,129.0394111,35.33192778
kor,4872000000,경상남도,의령군,,83,78,128,15,49.76,35,19,8.83,128.2638222,35.31911944
kor,4873000000,경상남도,함안군,,86,77,128,24,31.35,35,16,9.86,128.4087083,35.26940556
kor,4874000000,경상남도,창녕군,,87,83,128,29,40.32,35,32,29.53,128.4945333,35.54153611
kor,4882000000,경상남도,고성군,,85,71,128,19,28.35,34,58,11.64,128.3245417,34.9699
kor,4884000000,경상남도,남해군,,77,68,127,53,40.08,34,50,4.41,127.8944667,34.83455833
kor,4885000000,경상남도,하동군,,74,73,127,45,12.35,35,3,51.13,127.7534306,35.06420278
kor,4886000000,경상남도,산청군,,76,80,127,52,32.23,35,24,44.97,127.8756194,35.41249167
kor,4887000000,경상남도,함양군,,74,82,127,43,38.71,35,31,2.89,127.7274194,35.51746944
kor,4888000000,경상남도,거창군,,77,86,127,54,41.96,35,41,1.05,127.9116556,35.683625
kor,4889000000,경상남도,합천군,,81,84,128,10,4.55,35,33,49.02,128.1679306,35.56361667
kor,5011000000,제주특별자치도,제주시,,53,38,126,31,59.55,33,29,46.72,126.5332083,33.49631111
kor,5013000000,제주특별자치도,서귀포시,,52,33,126,30,45.2,33,15,8.46,126.5125556,33.25235
kor,5111000000,강원특별자치도,춘천시,,73,134,127,43,56.32,37,52,42.75,127.7323111,37.87854167
kor,5113000000,강원특별자치도,원주시,,76,122,127,55,19.4,37,20,20.7,127.9220556,37.33908333
kor,5115000000,강원특별자치도,강릉시,,92,131,128,52,42.59,37,44,56.89,128.8784972,37.74913611
kor,5117000000,강원특별자치도,동해시,,97,127,129,6,59.88,37,31,18.95,129.1166333,37.52193056
kor,5119000000,강원특별자치도,태백시,,95,119,128,59,16.79,37,9,40.42,128.9879972,37.16122778
kor,5121000000,강원특별자치도,속초시,,87,141,128,35,39,38,12,15.39,128.5941667,38.204275
kor,5123000000,강원특별자치도,삼척시,,98,125,129,10,2.96,37,26,49.51,129.1674889,37.44708611
kor,5172000000,강원특별자치도,홍천군,,75,130,127,53,27.03,37,41,39.92,127.8908417,37.69442222
kor,5173000000,강원특별자치도,횡성군,,77,125,127,59,14,37,29,20.25,127.9872222,37.48895833
kor,5175000000,강원특별자치도,영월군,,86,119,128,27,50.47,37,10,51.1,128.4640194,37.18086111
kor,5176000000,강원특별자치도,평창군,,84,123,128,23,32.47,37,22,4.5,128.3923528,37.36791667
kor,5177000000,강원특별자치도,정선군,,89,123,128,39,47.11,37,22,40.11,128.6630861,37.37780833
kor,5178000000,강원특별자치도,철원군,,65,139,127,18,56.64,38,8,38.6,127.3157333,38.14405556
kor,5179000000,강원특별자치도,화천군,,72,139,127,42,37.28,38,6,12.27,127.7103556,38.10340833
kor,5180000000,강원특별자치도,양구군,,77,139,127,59,32.08,38,6,26.25,127.9922444,38.10729167
kor,5181000000,강원특별자치도,인제군,,80,138,128,10,21.71,38,4,1.1,128.1726972,38.06697222
kor,5182000000,강원특별자치도,고성군,,85,145,128,28,12.59,38,22,40.66,128.4701639,38.37796111
kor,5183000000,강원특별자치도,양양군,,88,138,128,37,16.88,38,4,22.2,128.6213556,38.07283333
kor,5211100000,전북특별자치도,전주시완산구,,63,89,127,7,18.91,35,48,33.08,127.1219194,35.80918889
kor,5211300000,전북특별자치도,전주시덕진구,,63,89,127,8,11.11,35,49,34.99,127.1364194,35.82638611
kor,5213000000,전북특별자치도,군산시,,56,92,126,44,19.84,35,57,52.71,126.7388444,35.96464167
kor,5214000000,전북특별자치도,익산시,,60,91,126,57,35.47,35,56,42.99,126.9598528,35.945275
kor,5218000000,전북특별자치도,정읍시,,58,83,126,51,29.2,35,34,0.74,126.8581111,35.56687222
kor,5219000000,전북특별자치도,남원시,,68,80,127,23,33,35,24,47.72,127.3925,35.41325556
kor,5221000000,전북특별자치도,김제시,,59,88,126,52,57.91,35,48,2.07,126.8827528,35.800575
kor,5271000000,전북특별자치도,완주군,,63,89,127,8,58.55,35,50,34.69,127.1495972,35.84296944
kor,5272000000,전북특별자치도,진안군,,68,88,127,25,37.08,35,47,19.39,127.4269667,35.78871944
kor,5273000000,전북특별자치도,무주군,,72,93,127,39,46.32,36,0,13.78,127.6628667,36.00382778
kor,5274000000,전북특별자치도,장수군,,70,85,127,31,23.88,35,38,39.47,127.5233,35.64429722
kor,5275000000,전북특별자치도,임실군,,66,84,127,17,5.11,35,36,29.03,127.2847528,35.60806389
kor,5277000000,전북특별자치도,순창군,,63,79,127,8,22.67,35,22,17,127.1396306,35.37138889
kor,5279000000,전북특별자치도,고창군,,56,80,126,42,14.79,35,25,57.86,126.7041083,35.43273889
kor,5280000000,전북특별자치도,부안군,,56,87,126,44,8.44,35,43,42.72,126.7356778,35.72853333